Subject,File Name,Category,Main Purpose,Status,Needs Work,TODO Items,Endpoints,Dependencies,Importance,Error
/home/ubuntu/dlnk_project/antigravity/analyze_loot.py,analyze_loot.py,core/antigravity/tools/analysis,This script analyzes the 'intercepted_traffic.log' file to extract and report on authentication tokens and system prompts from logged network traffic data.,ready,True,"Improve error handling, make the log file path configurable, and enhance the flexibility of the log parsing logic.",N/A,intercepted_traffic.log,7,
/home/ubuntu/dlnk_project/antigravity/analyze_minified.py,analyze_minified.py,core/antigravity/tools/simulation/unified,วิเคราะห์ไฟล์ JavaScript เพื่อค้นหาข้อมูลสำคัญที่อาจถูก hardcodeไว้ เช่น API endpoints และ authorization tokens,ready,True,"รับพาธของไฟล์เป็น command-line argument, เพิ่มความสามารถในการบันทึกผลลัพธ์ลงไฟล์",api.antigravity,c:\Antigravity\resources\app\extensions\antigravity\dist\extension.js,5,
/home/ubuntu/dlnk_project/antigravity/burn_notice.py,burn_notice.py,core/antigravity/tools,"This script performs anti-forensics by altering the timestamps of specified files to match a trusted system file, effectively hiding their creation or modification time.",ready,True,The 'scrub_metadata' function is a conceptual implementation and needs to be fully developed to remove comments and metadata from files.,N/A,"exfil_client.py, worm_project.py, poison_telemetry.py, package.json, main.js",9,
/home/ubuntu/dlnk_project/antigravity/c2_dashboard.py,c2_dashboard.py,core/antigravity/tools/simulation,แสดง Dashboard สำหรับ Monitor การโจมตีจาก AI ที่ถูกวางยาพิษ โดยจะคอยตรวจสอบ Log File เพื่อค้นหาสัญญาณการติดเชื้อใหม่ๆ,partial,True,ปรับปรุงการดึง IP Address ของเหยื่อจาก Log File ให้มีความแม่นยำมากขึ้น (ปัจจุบันเป็นแบบ Simplified),N/A,"update_server.log, fake_update_server.py",7,
/home/ubuntu/dlnk_project/antigravity/c2_mothership.py,c2_mothership.py,core/antigravity/tools/simulation/unified,ทำหน้าที่เป็นเซิร์ฟเวอร์ Command and Control (C2) สำหรับจัดการ Botnet โดยรับคำสั่งจากผู้ควบคุมผ่าน Telegram และส่งต่อไปยังเครื่องเป้าหมาย (Victim) ผ่าน Flask API,ready,True,"ควรย้าย BOT_TOKEN และ ADMIN_USERNAME ไปเก็บใน Environment Variable เพื่อความปลอดภัย, เพิ่มการตรวจสอบและกรองข้อมูล (Sanitize) ในการติดต่อกับฐานข้อมูลเพื่อป้องกัน SQL Injection, เพิ่มระบบยืนยันตัวตน (Authentication) สำหรับ API Endpoints","/get_task, /upload, https://api.telegram.org/",mothership.db,10,
/home/ubuntu/dlnk_project/antigravity/deep_analyze.py,deep_analyze.py,core/antigravity/tools/analysis/unified,Analyzes the content of a JavaScript file by searching for specific keywords and displaying the context of each match.,ready,,N/A,N/A,extension.js,7,
/home/ubuntu/dlnk_project/antigravity/dlnk_db.py,dlnk_db.py,core/antigravity,จัดการฐานข้อมูล SQLite สำหรับติดตามข้อมูลอุปกรณ์/ลูกค้าและกิจกรรมการใช้งาน,ready,True,"1. Implement a proper IP address retrieval mechanism.
2. Develop auditing functionality for the activity_log table.",N/A,N/A,9,
/home/ubuntu/dlnk_project/antigravity/dlnk_launcher.py,dlnk_launcher.py,core/antigravity/tools,เป็น GUI Launcher สำหรับตรวจสอบลิขสิทธิ์ผู้ใช้ และทำการเปิดโปรแกรม VS Code พร้อมกับการตั้งค่า Proxy สำหรับดักจับข้อมูล (MITM),ready,True,"1. ทำให้การค้นหา VS Code รองรับระบบปฏิบัติการอื่นที่ไม่ใช่ Windows
2. นำโมดูล dlnk_db ที่ import เข้ามาแต่ยังไม่ได้ใช้งานไปใช้ให้สมบูรณ์
3. ปรับปรุงข้อความแสดงข้อผิดพลาดให้เป็นภาษาเดียวกันทั้งหมด
4. ทำให้พาธไปยัง mitm_https_proxy.py มีความยืดหยุ่นมากขึ้น",http://<server_ip>:5000/verify,"mitm_https_proxy.py, dlnk_license_manager.py, dlnk_db.py",9,
/home/ubuntu/dlnk_project/antigravity/dlnk_license_manager.py,dlnk_license_manager.py,core/antigravity,ไฟล์นี้ทำหน้าที่สร้างและตรวจสอบลิขสิทธิ์การใช้งานโปรแกรม โดยใช้การเข้ารหัสเพื่อความปลอดภัย,ready,True,ควรย้าย MASTER_SECRET และ SALT ออกจากโค้ดเพื่อความปลอดภัย,N/A,N/A,9,
/home/ubuntu/dlnk_project/antigravity/emergency_eject.py,emergency_eject.py,core/antigravity/tools,สคริปต์นี้เป็นเครื่องมือสำหรับล้างข้อมูลที่ใช้ในการโจมตีหรือปฏิบัติการด้านความปลอดภัย โดยจะคืนค่าไฟล์คอนฟิกที่ถูกแก้ไข ลบส่วนขยายที่เป็นอันตราย และลบไฟล์และหลักฐานต่างๆ ที่เกี่ยวข้องกับการโจมตีออกจากพื้นที่ทำงาน,ready,True,ปรับปรุงการจัดการข้อผิดพลาด (error handling) ให้เฉพาะเจาะจงมากขึ้น และพิจารณาใช้การกำหนดค่าพาธไฟล์จากภายนอกแทนการ hardcode,N/A,product.json,8,
/home/ubuntu/dlnk_project/antigravity/exfil_client.py,exfil_client.py,core/antigravity,"This file is a client-side script for a targeted data exfiltration simulation. It harvests specific secrets (like API tokens and IP addresses) from a designated loot directory, encrypts them, and prepares them for exfiltration to a command and control (C2) server using a dynamically generated domain.",partial,True,"1. Uncomment the `requests.post` call in the `exfiltrate` function to enable actual data transmission to the C2 server.
2. Uncomment the `cleanup_local` call in the main block to enable the removal of the encrypted secrets file after exfiltration.","http://ip-api.com/json/, Dynamically generated C2 URL (e.g., http://ag-update-{hash}.net/upload)",N/A,9,
/home/ubuntu/dlnk_project/antigravity/exploit_node_pty.py,exploit_node_pty.py,core/antigravity/tools/simulation,Simulates a command injection vulnerability in node-pty by demonstrating how unsanitized arguments can lead to remote code execution (RCE).,ready,,N/A,N/A,N/A,9,
/home/ubuntu/dlnk_project/antigravity/extract_prompts.py,extract_prompts.py,core/antigravity/tools/simulation/unified,สคริปต์นี้ใช้ในการดึงและวิเคราะห์ข้อความ prompt จากไฟล์ JavaScript ของ extension โดยค้นหาจาก keywords และ regular expressions,ready,True,"1. ทำให้ path ของไฟล์เป็น command-line argument แทนที่จะ hardcode
2. เพิ่มความสามารถในการ output ผลลัพธ์เป็นไฟล์ JSON
3. ปรับปรุง regular expression ให้ครอบคลุม prompt ได้หลากหลายรูปแบบมากขึ้น",N/A,extension.js,7,
/home/ubuntu/dlnk_project/antigravity/extract_urls.py,extract_urls.py,core/antigravity/tools,สคริปต์นี้จะแยก URL ที่ขึ้นต้นด้วย https ทั้งหมดจากไฟล์ JavaScript ของส่วนขยาย Antigravity จากนั้นจะลบรายการที่ซ้ำกัน จัดเรียง และพิมพ์ URL ที่ไม่ซ้ำกันออกมา,ready,,N/A,N/A,c:\\Antigravity\\resources\\app\\extensions\\antigravity\\dist\\extension.js,4,
/home/ubuntu/dlnk_project/antigravity/generate_certs.py,generate_certs.py,core/antigravity,Generates a root CA and server certificates for use in a man-in-the-middle (MITM) proxy.,ready,,N/A,N/A,N/A,8,
/home/ubuntu/dlnk_project/antigravity/get_traces_only.py,get_traces_only.py,core/antigravity/tools/simulation/unified,"สคริปต์นี้ใช้เพื่อดึงข้อมูล 'Traces' จากไฟล์ JavaScript โดยใช้ regular expression เพื่อค้นหา `JetskiTrace.task(""..."")` และตรวจสอบการมีอยู่ของสตริง 'api.antigravity'",ready,True,ควรปรับปรุงให้รับพาธของไฟล์เป็น command-line argument แทนการ hardcode และปรับปรุงการจัดการ error handling,api.antigravity,c:\Antigravity\resources\app\extensions\antigravity\dist\extension.js,6,
/home/ubuntu/dlnk_project/antigravity/ghost.py,ghost.py,core/antigravity/tools/simulation/unified,"This file simulates a 'Slave-Agent' listener for a Command and Control (C2) connection. It binds to a local port, accepts commands from a client, executes them on the host, and returns the output, effectively acting as a basic reverse shell for simulation purposes.",ready,True,"For real-world use, the following should be implemented: communication encryption, robust error handling, stealth mechanisms, persistence, and a proper authentication mechanism.",N/A,N/A,6,
/home/ubuntu/dlnk_project/antigravity/keygen.py,keygen.py,core/antigravity/tools,เป็นเครื่องมือสำหรับผู้ดูแลระบบ (Admin Tool) ในการสร้าง License Key สำหรับ dLNk AI โดยสามารถกำหนดจำนวนวันหมดอายุและชื่อเจ้าของ License ได้,ready,,N/A,N/A,dlnk_license_manager.py,9,
/home/ubuntu/dlnk_project/antigravity/license_server.py,license_server.py,core/antigravity,ไฟล์นี้ทำหน้าที่เป็นเซิร์ฟเวอร์สำหรับจัดการลิขสิทธิ์ (license) โดยมี API สำหรับตรวจสอบความถูกต้องของคีย์ และมี Telegram bot สำหรับให้แอดมินสร้างคีย์และดูข้อมูลผู้ใช้งาน,ready,True,"1. เปลี่ยน ADMIN_USER_ID จากค่า placeholder เป็น ID จริง
2. เพิ่ม CallbackQueryHandler เพื่อให้ปุ่มใน Telegram bot ทำงาน
3. พัฒนาฟังก์ชัน AI และการสร้างโค้ดใน `handle_message`
4. ย้าย BOT_TOKEN ไปเก็บใน environment variable เพื่อความปลอดภัย",/verify,N/A,9,
/home/ubuntu/dlnk_project/antigravity/mitm_https_proxy.py,mitm_https_proxy.py,core/antigravity/tools/simulation/unified,"This file implements an HTTPS Man-in-the-Middle (MITM) proxy designed to intercept, decrypt, and manipulate network traffic. It can steal authentication tokens, log chat conversations, inject malicious instructions into AI chat requests, and hijack software updates.",ready,True,Improve request parsing and header handling. Enhance error management. Develop more sophisticated malicious payloads. Add more configuration options for targeting.,"open-vsx.org, /chat/completions","server.pem, server.key",9,
/home/ubuntu/dlnk_project/antigravity/mitm_logger.py,mitm_logger.py,core/antigravity/tools/simulation,This file is a proof-of-concept Man-in-the-Middle (MITM) proxy designed to intercept and log HTTP/HTTPS requests. It simulates forwarding these requests to a target server and returns a mock response.,partial,True,"The script needs to implement proper SSL handling with a Certificate Authority (CA) to decrypt and inspect HTTPS traffic, as it currently only tunnels encrypted connections. The response logic should be updated to forward requests to the actual target host instead of returning a mocked response.",api.antigravity.ai,N/A,7,
/home/ubuntu/dlnk_project/antigravity/package_product.py,package_product.py,core/antigravity/tools,"This script packages the 'Antigravity Exploit Kit' by organizing various source files into a structured directory, creating a README.txt with instructions, and compressing the entire package into a distributable ZIP archive.",ready,,N/A,N/A,"dlnk_launcher.py, mitm_https_proxy.py, install_persistence.bat, google-cloud-bridge, exfil_client.py, worm_project.py, poison_telemetry.py, burn_notice.py, emergency_eject.py, trojan_builder.py, fake_landing_page.html",9,
/home/ubuntu/dlnk_project/antigravity/persistence_registry.py,persistence_registry.py,core/antigravity,ติดตั้งกลไกการคงอยู่ (persistence) ใน Windows Registry เพื่อให้สคริปต์ Python (`dlnk_launcher.py`) ทำงานโดยอัตโนมัติเมื่อเริ่มต้นระบบ,ready,True,"ทำให้พาธของ payload สามารถกำหนดค่าได้, เพิ่มการจัดการข้อผิดพลาดให้มากขึ้น, พิจารณาใช้วิธีการคงอยู่ (persistence) อื่นสำหรับระบบปฏิบัติการที่แตกต่างกัน",N/A,dlnk_launcher.py,8,
/home/ubuntu/dlnk_project/antigravity/poison_telemetry.py,poison_telemetry.py,core/antigravity/tools/simulation/unified,"This script is designed for AI data poisoning. It floods a telemetry endpoint with malicious code snippets, aiming to manipulate an AI model into learning and recommending this malicious code as a 'good' suggestion in development environments.",ready,True,"The actual HTTP POST request is commented out for simulation. To make it fully functional, the `requests.post` call needs to be enabled. Additionally, error handling could be more robust.",https://vortex.data.microsoft.com/collect/v1,N/A,8,
/home/ubuntu/dlnk_project/antigravity/sim_exfil.py,sim_exfil.py,core/antigravity/tools/simulation/unified,สคริปต์นี้จำลองกระบวนการขโมยข้อมูลโดยรวบรวมไฟล์เป้าหมายไปยังพื้นที่ชั่วคราว บีบอัดเป็นไฟล์ ZIP แล้วลบพื้นที่ชั่วคราวนั้นทิ้ง,ready,,N/A,N/A,"extension.js, package.json, language-configuration.json",6,
/home/ubuntu/dlnk_project/antigravity/simulate_traffic.py,simulate_traffic.py,core/antigravity/tools/simulation/unified,This script sends a test POST request to the antigravity API via a local proxy to simulate and verify traffic interception.,ready,,N/A,http://api.antigravity.ai/v1/embeddings,N/A,4,
/home/ubuntu/dlnk_project/antigravity/simulation/fake_update_server.py,fake_update_server.py,core/antigravity/simulation/unified,This script simulates a malicious software update server to test the security of an application's update process by serving a fake update payload.,ready,True,"1. Implement handling for POST requests.
2. Add more sophisticated payload delivery mechanisms.
3. Enhance logging capabilities.
4. Use a configuration file for settings instead of hardcoded values.
5. Use a real SHA1 hash instead of a placeholder.","/RELEASES, /latest.yml, /fake_update.exe","fake_update.exe, update_server.log",6,
/home/ubuntu/dlnk_project/antigravity/simulation/poison_hosts.py,poison_hosts.py,core/antigravity/tools/simulation/unified,"Modifies the local hosts file to redirect a specific domain to localhost, effectively poisoning the DNS for that domain. It includes functionality to apply and clean up the changes, and it attempts to self-elevate to administrator privileges if required.",ready,True,"1. Make the redirection entry configurable via command-line arguments.
2. Improve error handling for more specific feedback.
3. Add cross-platform support (currently Windows-only).
4. Remove the 'Press Enter to exit' prompt to allow for better automation.",N/A,N/A,6,
